date,elec1,elec2,elec3,gas
2014-01-31,33058.49999999999,66479.10000000006,43944.000000000015,0.0
2014-02-28,24865.19999999994,52626.699999999946,40378.20000000005,0.0
2014-03-31,27497.59999999993,47512.299999999945,42158.59999999997,0.0
2014-04-30,28180.899999999943,47493.60000000001,39875.800000000025,0.0
2014-05-31,33355.5000000001,50084.50000000008,40382.20000000003,9614.888000000006
2014-06-30,42012.40000000016,55513.6000000001,40287.30000000009,44319.65700000006
2014-07-31,52189.79999999974,46825.69999999994,43370.19999999998,25326.97900000005
2014-08-31,34034.100000000115,57041.59999999996,38632.90000000006,52511.63899999989
2014-09-30,51982.99999999995,59829.399999999994,41025.99999999999,116664.5299999999
2014-10-31,31650.400000000136,50080.600000000035,44060.799999999996,78962.86600000002
2014-11-30,25084.19999999996,54906.300000000025,38560.2000000001,139158.14800000016
2014-12-31,24535.699999999983,71992.79999999983,39802.60000000004,235602.6169999999
