date,elec1,elec2,elec3
2014-01-31,23979.299999999963,22716.425000000017,0.0
2014-02-28,22072.599999999995,19398.27400000001,0.0
2014-03-31,23572.399999999987,22396.476000000017,0.0
2014-04-30,22953.19999999999,22940.107999999964,0.0
2014-05-31,23669.699999999986,22980.849999999995,0.0
2014-06-30,23498.00000000002,23500.354999999967,0.0
2014-07-31,25344.299999999945,27472.37199999997,0.007
2014-08-31,23121.99999999998,22429.33699999999,0.1400000000000001
2014-09-30,23980.199999999997,22663.989000000016,0.16100000000000012
2014-10-31,25266.899999999998,21098.142,0.10200000000000008
2014-11-30,23809.699999999997,17371.85900000001,0.19900000000000015
2014-12-31,23239.70000000001,20273.89299999998,0.20800000000000016
